   Time                       Value
   0.000000000000000E+00     0.000000000000000E+00 
   0.500000000000000E-01     0.309348546432428E-17 
   0.100000000000000E+00    -0.248744884961513E-17 
   0.150000000000000E+00     0.165307066332030E-17 
   0.200000000000000E+00    -0.567288241237566E-18 
   0.250000000000000E+00     0.655087318068204E-17 
   0.300000000000000E+00     0.642378160295624E-17 
   0.350000000000000E+00     0.997501661296491E-20 
   0.400000000000000E+00     0.234180444375217E-18 
   0.450000000000000E+00     0.302305979838135E-18 
   0.500000000000000E+00     0.183573238237563E-16 
   0.550000000000000E+00     0.141000925963889E-16 
   0.600000000000000E+00     0.170442151442634E-16 
   0.650000000000000E+00     0.410233532509411E-17 
   0.700000000000000E+00    -0.530440544824840E-17 
   0.750000000000000E+00     0.356569063489657E-18 
   0.800000000000000E+00     0.115732889400969E-16 
   0.850000000000000E+00     0.173320863982807E-16 
   0.900000000000000E+00     0.732595266895337E-17 
   0.950000000000000E+00    -0.495312521671119E-17 
   0.100000000000000E+01     0.171215809962226E-16 
