   Time                    Number Of Iterations To Converge
  0.000000000000000E+000           0
  5.000000000000000E-002           3
  0.100000000000000                8
  0.150000000000000               10
  0.200000000000000               10
  0.250000000000000               10
  0.300000000000000               10
  0.350000000000000               10
  0.400000000000000               10
  0.450000000000000               10
  0.500000000000000               11
  0.550000000000000               11
  0.600000000000000               11
  0.650000000000000               10
  0.700000000000000               11
  0.750000000000000               11
  0.800000000000000               12
  0.850000000000000               14
  0.900000000000000               14
  0.950000000000000               15
   1.00000000000000               15
   1.05000000000000               15
   1.10000000000000               15
   1.15000000000000               15
   1.20000000000000               15
   1.25000000000000               14
   1.30000000000000               14
   1.35000000000000               14
   1.40000000000000               14
   1.45000000000000               14
   1.50000000000000               15
